日付,体重,摂取カロリー,カロリー消費,運動消費カロリー
2019.12.01,105.6,2114,2232,323
2019.12.02,105,793,2659,976
2019.12.03,103.6,1123,2395,606
2019.12.04,104.4,1333,2474,680
2019.12.05,104.2,1074,2779,1062
2019.12.06,104.2,1443,2291,463
2019.12.07,103.6,2755,2577,817
2019.12.08,103.4,1390,2092,172
2019.12.09,103.6,1437,3138,1557
2019.12.10,102.4,1641,4686,3177
2019.12.11,102.8,1565,3887,2171
2019.12.12,103.2,1726,4002,2363
2019.12.13,102.2,1439,5470,3978
2019.12.14,102.8,1464,3021,1177
2019.12.15,102.2,1354,5337,3931
2019.12.16,102.8,1187,4504,2938
2019.12.17,102.8,0,5478,4069
2019.12.18,102.67,0,6174,4975
2019.12.19,102.53,0,5542,4256
2019.12.20,102.4,0,3282,1446
2019.12.21,104.4,0,2538,687
2019.12.22,104.6,0,2271,330
2019.12.23,103.4,0,1944,0
2019.12.24,102.2,0,4778,3197
2019.12.25,102,0,5533,4200
2019.12.26,101.2,0,4606,3090
2019.12.27,101.8,0,2300,281
2019.12.28,101,0,2253,316
2019.12.29,100.2,0,6045,4783
2019.12.30,100.5,0,4248,2673
2019.12.31,100.8,0,3103,1385
2020.01.01,100.93,0,1920,0
2020.01.02,101.07,0,1921,0
2020.01.03,101.2,0,1922,0
2020.01.04,100.85,0,1915,0
2020.01.05,100.5,0,4772,3373
2020.01.06,100.15,0,4519,3097
2020.01.07,99.8,0,3440,1767
2020.01.08,99.6,0,1906,0
2020.01.09,99.4,0,4567,3132
2020.01.10,98.4,0,4346,2915
2020.01.11,97.6,549,4347,2970
2020.01.12,97.6,0,2012,272
